code,Ingredients,protein,carbohydrates,fats,minerals,fibre,calories
A001,"Amaranth seed, black (Amaranthus cruentus)",14.59,59.98,5.74,2.78,7.02,356.11894
A002,"Amaranth seed, pale brown (Amaranthus cruentus)",13.27,61.46,5.56,3.05,7.47,355.879934
A003,Bajra (Pennisetum typhoideum),10.96,61.78,5.43,1.37,11.49,347.992736
A004,Barley (Hordeum vulgare),10.94,61.29,1.3,1.06,15.64,315.726926
A005,Jowar (Sorghum vulgare),9.97,67.68,1.73,1.39,10.22,334.130388
A006,"Maize, dry (Zea mays)",8.8,64.77,3.77,1.17,12.24,334.130388
A007,"Maize, tender, local (Zea mays)",3.57,22.69,1.4,0.38,3.67,119.981012
A008,"Maize, tender, sweet (Zea mays)",4.16,16.42,1.35,0.36,3.3,96.79743
A009,Quinoa (Chenopodium quinoa),13.11,53.65,5.5,2.65,14.66,328.394244
A010,Ragi (Eleusine coracana),7.16,66.82,1.92,2.04,11.18,320.746052
A011,Rice flakes (Oryza sativa),7.44,76.75,1.14,0.85,3.46,353.72888
A012,Rice puffed (Oryza sativa ),7.47,77.68,1.62,1.28,2.56,361.855084
A013,"Rice, raw, brown (Oryza sativa )",9.16,74.8,1.24,1.04,4.43,353.72888
A014,"Rice, parboiled, milled (Oryza sativa )",7.81,77.16,0.55,0.65,3.74,351.577826
A015,"Rice, raw, milled (Oryza sativa )",7.94,78.24,0.52,0.56,2.81,356.357946
A016,Samai (Panicum miliare),10.13,65.55,3.89,1.34,7.72,346.319694
A017,Varagu (Setaria italica),8.92,66.19,2.55,1.72,6.39,331.740328
A018,"Wheat flour, refined (Triticum aestivum)",10.36,74.27,0.76,0.51,2.76,351.816832
A019,"Wheat flour, atta (Triticum aestivum)",10.57,64.17,1.53,1.28,11.36,320.26804
A020,"Wheat, whole (Triticum aestivum)",10.59,64.72,1.47,1.42,11.23,321.941082
A021,"Wheat, bulgur (Triticum aestivum)",10.84,69.06,1.45,1.23,8.81,341.77858
A022,"Wheat, semolina (Triticum aestivum)",11.38,68.43,0.74,0.8,9.72,333.652376
A023,"Wheat, vermicelli (Triticum aestivum)",9.7,70.39,0.45,0.6,9.28,332.696352
A024,"Wheat, vermicelli, roasted (Triticum aestivum)",10.37,71.42,0.49,0.56,9.55,340.105538
B001,"Chickpea, Bengal gram, dal (Cicer arietinum)",21.55,46.72,5.31,2.1,15.15,329.111262
B002,"Chickpea, Bengal gram, whole (Cicer arietinum)",18.77,39.56,5.11,2.78,25.22,287.046206
B003,"Black gram, dal (Phaseolus mungo)",23.06,51,1.69,3.17,11.93,324.092136
B004,"Black gram, whole (Phaseolus mungo)",21.97,43.99,1.58,3.35,20.41,291.348314
B005,"Cowpea, brown (Vigna catjang)",20.36,54.62,1.15,2.9,11.54,320.26804
B006,"Cowpea, white (Vigna catjang)",21.25,53.77,1.14,2.83,11.7,320.26804
B007,"Field bean, black (Phaseolus vulgaris)",19.93,43.46,0.92,2.73,23.4,276.05193
B008,"Field bean, brown (Phaseolus vulgaris)",19.9,45.24,0.98,2.74,22.4,282.983104
B009,"Field bean, white (Phaseolus vulgaris)",19.84,44.53,0.94,3.09,22.99,280.354038
B010,"Green gram, dal (Phaseolus aureus)",23.88,52.59,1.35,3.04,9.37,325.765178
B011,"Green gram, whole (Phaseolus aureus)",22.53,46.13,1.14,3.22,17.04,293.738374
B012,"Horse gram, whole (Dolicus biflorus)",21.73,57.24,0.62,3.24,7.88,329.589274
B013,Lentil dal (Lens culinaris),24.35,52.53,0.75,2.23,10.43,322.419094
B014,"Lentil whole, brown (Lens culinaris)",22.49,48.47,0.64,2.39,16.82,298.996506
B015,"Lentil whole, yellowish (Lens culinaris)",22.87,47.91,0.61,2.2,16.66,297.801476
B016,Moth bean (Vigna aconitifolia),19.75,52.09,1.76,3.14,15.12,308.556746
